"Label","Alaska!!Total!!Estimate","Maine!!Total!!Estimate","North Carolina!!Total!!Estimate","Missouri!!Total!!Estimate","Pennsylvania!!Total!!Estimate","Michigan!!Total!!Estimate","Nebraska!!Total!!Estimate","Oregon!!Total!!Estimate","Wyoming!!Total!!Estimate","California!!Total!!Estimate","Mississippi!!Total!!Estimate","Connecticut!!Total!!Estimate","Texas!!Total!!Estimate","Idaho!!Total!!Estimate","Maryland!!Total!!Estimate","New Mexico!!Total!!Estimate","Alabama!!Total!!Estimate","Tennessee!!Total!!Estimate","Vermont!!Total!!Estimate","Nevada!!Total!!Estimate","West Virginia!!Total!!Estimate","Oklahoma!!Total!!Estimate","Wisconsin!!Total!!Estimate","Puerto Rico!!Total!!Estimate","Kansas!!Total!!Estimate","Virginia!!Total!!Estimate","North Dakota!!Total!!Estimate","New Jersey!!Total!!Estimate","Ohio!!Total!!Estimate","South Carolina!!Total!!Estimate","Georgia!!Total!!Estimate","Colorado!!Total!!Estimate","Hawaii!!Total!!Estimate","South Dakota!!Total!!Estimate","Indiana!!Total!!Estimate","Kentucky!!Total!!Estimate","Louisiana!!Total!!Estimate","Washington!!Total!!Estimate","Illinois!!Total!!Estimate","Iowa!!Total!!Estimate","New Hampshire!!Total!!Estimate","Rhode Island!!Total!!Estimate","Arkansas!!Total!!Estimate","Delaware!!Total!!Estimate","Minnesota!!Total!!Estimate","Montana!!Total!!Estimate","Arizona!!Total!!Estimate","Florida!!Total!!Estimate","Massachusetts!!Total!!Estimate","District of Columbia!!Total!!Estimate","Utah!!Total!!Estimate","New York!!Total!!Estimate"
"        White alone","368,438","1,027,268","5,476,286","3,921,613","8,181,887","6,129,604","1,246,241","2,714,328","404,463","16,427,059","1,351,907","2,109,655","14,047,850","1,157,724","2,568,307","1,175,689","2,607,033","4,067,694","477,697","1,432,244","1,346,378","2,163,596","3,909,624","1,684,618","1,830,276","4,399,355","507,582","4,474,880","7,454,489","2,679,056","4,590,158","3,612,937","284,151","573,199","4,262,963","3,009,873","2,226,970","4,328,981","6,842,371","2,184,022","1,013,045","684,999","1,772,891","521,934","3,612,605","747,646","4,067,382","11,927,653","4,176,989","240,198","1,878,243","9,479,819"
"        Black or African American alone","17,519","8,276","1,673,716","514,289","1,013,276","1,007,850","58,693","53,328","N","1,733,938","834,824","265,142","2,483,006","7,911","1,314,381","35,671","979,390","830,612","4,621","202,018","54,308","205,093","252,844","324,374","121,077","1,222,486","13,529","854,268","1,040,599","1,021,072","2,419,526","165,359","23,051","7,602","442,109","259,615","1,103,078","191,840","1,332,512","60,889","14,908","44,576","332,151","158,901","194,296","N","235,473","2,302,492","337,379","240,843","22,236","2,139,909"
"        Asian alone","26,468","8,429","142,490","59,828","232,421","154,309","18,750","109,489","2,909","3,637,615","12,926","81,519","705,534","15,967","218,881","19,688","30,399","57,533","6,816","164,862","7,413","43,618","82,724","3,376","39,553","320,693","3,741","457,244","123,266","43,727","208,694","99,021","391,385","4,301","65,038","28,741","38,480","364,052","386,422","31,533","17,194","19,903","23,033","15,714","141,920","4,509","131,296","350,164","244,395","19,162","41,022","922,184"
"        American Indian and Alaska Native alone","N","N","89,491","N","14,872","39,224","N","36,118","N","211,862","N","5,855","97,576","N","10,234","N","N","N","N","29,176","N","218,083","N","N","N","16,173","N","13,594","N","N","19,983","42,763","N","N","10,124","N","N","69,554","24,927","N","N","N","N","N","40,584","N","225,636","44,172","N","N","N","56,168"
"        Native Hawaiian and Other Pacific Islander alone","4,320","N","5,707","3,951","N","2,902","N","9,176","N","106,796","N","N","15,341","N","N","N","N","N","N","13,701","N","2,454","N","N","N","N","N","N","2,746","N","5,855","N","91,333","N","N","N","N","33,073","N","1,802","N","N","2,668","N","N","N","11,034","9,437","N","N","17,875","7,021"
"        Some Other Race alone","6,980","2,024","95,928","27,155","172,982","57,772","16,792","60,962","N","2,664,272","10,252","95,670","764,568","23,711","92,643","93,757","22,308","28,498","1,688","155,411","3,105","44,858","51,146","426,226","26,741","80,450","N","271,565","55,309","33,132","102,346","106,140","11,122","2,976","68,442","13,114","22,034","128,422","321,104","11,416","4,903","30,812","34,576","6,555","36,479","3,505","211,608","379,968","156,986","9,019","59,280","834,466"
"        Two or More Races","33,181","N","146,082","84,168","162,606","151,217","27,502","114,770","N","1,057,288","20,139","55,934","388,459","28,860","113,237","36,720","54,771","72,307","N","77,754","17,292","174,963","66,873","118,900","52,582","169,837","N","124,757","167,973","56,372","140,237","117,945","212,677","N","84,012","48,798","48,765","239,617","163,661","29,319","16,488","18,973","43,012","13,093","79,970","N","153,342","313,929","106,038","14,842","46,359","330,462"
"        Hispanic or Latino","31,790","15,070","337,941","123,751","527,340","264,843","87,039","236,661","32,683","7,863,415","35,968","321,257","5,627,836","99,906","246,253","647,679","80,325","125,024","8,387","412,166","15,663","175,496","183,767","2,529,291","147,102","343,754","16,825","957,045","237,803","115,494","375,000","666,340","88,831","16,770","206,107","56,296","105,048","409,859","1,064,834","83,270","31,264","91,160","86,138","38,834","124,741","24,492","1,188,723","3,141,934","448,318","36,738","190,248","2,033,344"
"        White alone, Not Hispanic or Latino","349,058","1,016,354","5,266,352","3,833,132","7,890,171","5,943,602","1,182,496","2,563,656","378,267","11,748,576","1,330,091","1,919,416","9,394,473","1,091,074","2,444,903","651,775","2,554,006","3,979,945","471,163","1,204,911","1,334,652","2,049,892","3,789,533","24,729","1,724,644","4,175,696","497,987","3,866,635","7,294,535","2,605,101","4,355,981","3,109,968","257,508","562,090","4,137,370","2,970,941","2,152,258","4,092,643","6,155,989","2,116,530","990,203","627,800","1,725,137","495,504","3,537,015","729,822","3,191,082","9,325,209","3,920,473","219,188","1,760,735","8,553,329"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
