"Label","Alaska!!Total!!Estimate","Alaska!!Total!!Margin of Error","Alaska!!Percent!!Estimate","Alaska!!Percent!!Margin of Error","Maine!!Total!!Estimate","Maine!!Total!!Margin of Error","Maine!!Percent!!Estimate","Maine!!Percent!!Margin of Error","North Carolina!!Total!!Estimate","North Carolina!!Total!!Margin of Error","North Carolina!!Percent!!Estimate","North Carolina!!Percent!!Margin of Error","Missouri!!Total!!Estimate","Missouri!!Total!!Margin of Error","Missouri!!Percent!!Estimate","Missouri!!Percent!!Margin of Error","Pennsylvania!!Total!!Estimate","Pennsylvania!!Total!!Margin of Error","Pennsylvania!!Percent!!Estimate","Pennsylvania!!Percent!!Margin of Error","Michigan!!Total!!Estimate","Michigan!!Total!!Margin of Error","Michigan!!Percent!!Estimate","Michigan!!Percent!!Margin of Error","Nebraska!!Total!!Estimate","Nebraska!!Total!!Margin of Error","Nebraska!!Percent!!Estimate","Nebraska!!Percent!!Margin of Error","Oregon!!Total!!Estimate","Oregon!!Total!!Margin of Error","Oregon!!Percent!!Estimate","Oregon!!Percent!!Margin of Error","Wyoming!!Total!!Estimate","Wyoming!!Total!!Margin of Error","Wyoming!!Percent!!Estimate","Wyoming!!Percent!!Margin of Error","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!Percent!!Estimate","California!!Percent!!Margin of Error","Mississippi!!Total!!Estimate","Mississippi!!Total!!Margin of Error","Mississippi!!Percent!!Estimate","Mississippi!!Percent!!Margin of Error","Connecticut!!Total!!Estimate","Connecticut!!Total!!Margin of Error","Connecticut!!Percent!!Estimate","Connecticut!!Percent!!Margin of Error","Texas!!Total!!Estimate","Texas!!Total!!Margin of Error","Texas!!Percent!!Estimate","Texas!!Percent!!Margin of Error","Idaho!!Total!!Estimate","Idaho!!Total!!Margin of Error","Idaho!!Percent!!Estimate","Idaho!!Percent!!Margin of Error","Maryland!!Total!!Estimate","Maryland!!Total!!Margin of Error","Maryland!!Percent!!Estimate","Maryland!!Percent!!Margin of Error","New Mexico!!Total!!Estimate","New Mexico!!Total!!Margin of Error","New Mexico!!Percent!!Estimate","New Mexico!!Percent!!Margin of Error","Alabama!!Total!!Estimate","Alabama!!Total!!Margin of Error","Alabama!!Percent!!Estimate","Alabama!!Percent!!Margin of Error","Tennessee!!Total!!Estimate","Tennessee!!Total!!Margin of Error","Tennessee!!Percent!!Estimate","Tennessee!!Percent!!Margin of Error","Vermont!!Total!!Estimate","Vermont!!Total!!Margin of Error","Vermont!!Percent!!Estimate","Vermont!!Percent!!Margin of Error","Nevada!!Total!!Estimate","Nevada!!Total!!Margin of Error","Nevada!!Percent!!Estimate","Nevada!!Percent!!Margin of Error","West Virginia!!Total!!Estimate","West Virginia!!Total!!Margin of Error","West Virginia!!Percent!!Estimate","West Virginia!!Percent!!Margin of Error","Oklahoma!!Total!!Estimate","Oklahoma!!Total!!Margin of Error","Oklahoma!!Percent!!Estimate","Oklahoma!!Percent!!Margin of Error","Wisconsin!!Total!!Estimate","Wisconsin!!Total!!Margin of Error","Wisconsin!!Percent!!Estimate","Wisconsin!!Percent!!Margin of Error","Puerto Rico!!Total!!Estimate","Puerto Rico!!Total!!Margin of Error","Puerto Rico!!Percent!!Estimate","Puerto Rico!!Percent!!Margin of Error","Kansas!!Total!!Estimate","Kansas!!Total!!Margin of Error","Kansas!!Percent!!Estimate","Kansas!!Percent!!Margin of Error","Virginia!!Total!!Estimate","Virginia!!Total!!Margin of Error","Virginia!!Percent!!Estimate","Virginia!!Percent!!Margin of Error","North Dakota!!Total!!Estimate","North Dakota!!Total!!Margin of Error","North Dakota!!Percent!!Estimate","North Dakota!!Percent!!Margin of Error","New Jersey!!Total!!Estimate","New Jersey!!Total!!Margin of Error","New Jersey!!Percent!!Estimate","New Jersey!!Percent!!Margin of Error","Ohio!!Total!!Estimate","Ohio!!Total!!Margin of Error","Ohio!!Percent!!Estimate","Ohio!!Percent!!Margin of Error","South Carolina!!Total!!Estimate","South Carolina!!Total!!Margin of Error","South Carolina!!Percent!!Estimate","South Carolina!!Percent!!Margin of Error","Georgia!!Total!!Estimate","Georgia!!Total!!Margin of Error","Georgia!!Percent!!Estimate","Georgia!!Percent!!Margin of Error","Colorado!!Total!!Estimate","Colorado!!Total!!Margin of Error","Colorado!!Percent!!Estimate","Colorado!!Percent!!Margin of Error","Hawaii!!Total!!Estimate","Hawaii!!Total!!Margin of Error","Hawaii!!Percent!!Estimate","Hawaii!!Percent!!Margin of Error","South Dakota!!Total!!Estimate","South Dakota!!Total!!Margin of Error","South Dakota!!Percent!!Estimate","South Dakota!!Percent!!Margin of Error","Indiana!!Total!!Estimate","Indiana!!Total!!Margin of Error","Indiana!!Percent!!Estimate","Indiana!!Percent!!Margin of Error","Kentucky!!Total!!Estimate","Kentucky!!Total!!Margin of Error","Kentucky!!Percent!!Estimate","Kentucky!!Percent!!Margin of Error","Louisiana!!Total!!Estimate","Louisiana!!Total!!Margin of Error","Louisiana!!Percent!!Estimate","Louisiana!!Percent!!Margin of Error","Washington!!Total!!Estimate","Washington!!Total!!Margin of Error","Washington!!Percent!!Estimate","Washington!!Percent!!Margin of Error","Illinois!!Total!!Estimate","Illinois!!Total!!Margin of Error","Illinois!!Percent!!Estimate","Illinois!!Percent!!Margin of Error","Iowa!!Total!!Estimate","Iowa!!Total!!Margin of Error","Iowa!!Percent!!Estimate","Iowa!!Percent!!Margin of Error","New Hampshire!!Total!!Estimate","New Hampshire!!Total!!Margin of Error","New Hampshire!!Percent!!Estimate","New Hampshire!!Percent!!Margin of Error","Rhode Island!!Total!!Estimate","Rhode Island!!Total!!Margin of Error","Rhode Island!!Percent!!Estimate","Rhode Island!!Percent!!Margin of Error","Arkansas!!Total!!Estimate","Arkansas!!Total!!Margin of Error","Arkansas!!Percent!!Estimate","Arkansas!!Percent!!Margin of Error","Delaware!!Total!!Estimate","Delaware!!Total!!Margin of Error","Delaware!!Percent!!Estimate","Delaware!!Percent!!Margin of Error","Minnesota!!Total!!Estimate","Minnesota!!Total!!Margin of Error","Minnesota!!Percent!!Estimate","Minnesota!!Percent!!Margin of Error","Montana!!Total!!Estimate","Montana!!Total!!Margin of Error","Montana!!Percent!!Estimate","Montana!!Percent!!Margin of Error","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!Percent!!Estimate","Arizona!!Percent!!Margin of Error","Florida!!Total!!Estimate","Florida!!Total!!Margin of Error","Florida!!Percent!!Estimate","Florida!!Percent!!Margin of Error","Massachusetts!!Total!!Estimate","Massachusetts!!Total!!Margin of Error","Massachusetts!!Percent!!Estimate","Massachusetts!!Percent!!Margin of Error","District of Columbia!!Total!!Estimate","District of Columbia!!Total!!Margin of Error","District of Columbia!!Percent!!Estimate","District of Columbia!!Percent!!Margin of Error","Utah!!Total!!Estimate","Utah!!Total!!Margin of Error","Utah!!Percent!!Estimate","Utah!!Percent!!Margin of Error","New York!!Total!!Estimate","New York!!Total!!Margin of Error","New York!!Percent!!Estimate","New York!!Percent!!Margin of Error"
"        White alone","368,438","±2,822","69.2%","±0.5","1,027,268","±1,780","95.9%","±0.2","5,476,286","±10,058","71.8%","±0.1","3,921,613","±6,084","84.6%","±0.1","8,181,887","±14,018","83.6%","±0.1","6,129,604","±9,150","81.3%","±0.1","1,246,241","±3,521","90.3%","±0.3","2,714,328","±8,793","87.6%","±0.3","404,463","±1,936","93.3%","±0.5","16,427,059","±47,102","63.6%","±0.2","1,351,907","±3,651","60.3%","±0.1","2,109,655","±10,150","80.7%","±0.4","14,047,850","±33,888","75.9%","±0.1","1,157,724","±4,595","92.4%","±0.4","2,568,307","±8,835","59.4%","±0.2","1,175,689","±9,628","78.0%","±0.5","2,607,033","±4,976","70.2%","±0.1","4,067,694","±6,787","80.1%","±0.1","477,697","±1,660","95.5%","±0.3","1,432,244","±9,765","69.0%","±0.4","1,346,378","±2,462","94.1%","±0.2","2,163,596","±5,397","75.8%","±0.2","3,909,624","±5,779","88.8%","±0.1","1,684,618","±17,992","65.8%","±0.7","1,830,276","±5,443","87.5%","±0.2","4,399,355","±12,809","70.8%","±0.2","507,582","±1,979","89.5%","±0.5","4,474,880","±16,629","72.2%","±0.2","7,454,489","±7,471","84.1%","±0.1","2,679,056","±6,426","69.6%","±0.1","4,590,158","±12,930","61.3%","±0.1","3,612,937","±12,239","87.0%","±0.3","284,151","±3,128","28.0%","±0.3","573,199","±1,795","88.6%","±0.4","4,262,963","±8,306","86.4%","±0.2","3,009,873","±4,121","89.3%","±0.1","2,226,970","±5,546","64.4%","±0.1","4,328,981","±11,653","80.8%","±0.2","6,842,371","±15,974","75.4%","±0.2","2,184,022","±3,981","93.8%","±0.2","1,013,045","±2,815","94.7%","±0.3","684,999","±6,879","85.3%","±0.7","1,772,891","±4,334","79.7%","±0.2","521,934","±3,590","72.4%","±0.5","3,612,605","±4,727","88.0%","±0.2","747,646","±2,078","90.8%","±0.2","4,067,382","±15,895","80.8%","±0.3","11,927,653","±31,355","77.8%","±0.2","4,176,989","±12,685","82.9%","±0.2","240,198","±3,429","45.6%","±0.5","1,878,243","±6,805","90.0%","±0.3","9,479,819","±24,931","68.8%","±0.2"
"        Black or African American alone","17,519","±1,558","3.3%","±0.3","8,276","±1,369","0.8%","±0.1","1,673,716","±9,270","21.9%","±0.1","514,289","±4,955","11.1%","±0.1","1,013,276","±9,113","10.4%","±0.1","1,007,850","±5,564","13.4%","±0.1","58,693","±2,129","4.3%","±0.2","53,328","±2,816","1.7%","±0.1","N","N","N","N","1,733,938","±9,966","6.7%","±0.1","834,824","±4,366","37.3%","±0.2","265,142","±5,421","10.1%","±0.2","2,483,006","±13,916","13.4%","±0.1","7,911","±1,978","0.6%","±0.2","1,314,381","±8,577","30.4%","±0.2","35,671","±2,822","2.4%","±0.2","979,390","±4,979","26.4%","±0.1","830,612","±7,198","16.4%","±0.1","4,621","±878","0.9%","±0.2","202,018","±4,502","9.7%","±0.2","54,308","±2,332","3.8%","±0.2","205,093","±4,167","7.2%","±0.1","252,844","±3,700","5.7%","±0.1","324,374","±13,678","12.7%","±0.5","121,077","±4,050","5.8%","±0.2","1,222,486","±8,495","19.7%","±0.1","13,529","±1,952","2.4%","±0.3","854,268","±9,426","13.8%","±0.1","1,040,599","±7,812","11.7%","±0.1","1,021,072","±5,914","26.5%","±0.2","2,419,526","±11,339","32.3%","±0.2","165,359","±4,755","4.0%","±0.1","23,051","±1,287","2.3%","±0.1","7,602","±1,415","1.2%","±0.2","442,109","±5,205","9.0%","±0.1","259,615","±5,028","7.7%","±0.1","1,103,078","±5,658","31.9%","±0.2","191,840","±5,504","3.6%","±0.1","1,332,512","±7,765","14.7%","±0.1","60,889","±3,196","2.6%","±0.1","14,908","±1,969","1.4%","±0.2","44,576","±2,280","5.6%","±0.3","332,151","±4,354","14.9%","±0.2","158,901","±2,577","22.0%","±0.3","194,296","±5,370","4.7%","±0.1","N","N","N","N","235,473","±4,905","4.7%","±0.1","2,302,492","±19,216","15.0%","±0.1","337,379","±7,372","6.7%","±0.1","240,843","±3,056","45.8%","±0.6","22,236","±1,528","1.1%","±0.1","2,139,909","±15,967","15.5%","±0.1"
"        Asian alone","26,468","±2,068","5.0%","±0.4","8,429","±998","0.8%","±0.1","142,490","±5,409","1.9%","±0.1","59,828","±3,736","1.3%","±0.1","232,421","±5,732","2.4%","±0.1","154,309","±4,672","2.0%","±0.1","18,750","±1,854","1.4%","±0.1","109,489","±4,794","3.5%","±0.2","2,909","±853","0.7%","±0.2","3,637,615","±22,735","14.1%","±0.1","12,926","±1,509","0.6%","±0.1","81,519","±3,623","3.1%","±0.1","705,534","±11,483","3.8%","±0.1","15,967","±1,832","1.3%","±0.1","218,881","±6,474","5.1%","±0.1","19,688","±1,901","1.3%","±0.1","30,399","±3,009","0.8%","±0.1","57,533","±3,468","1.1%","±0.1","6,816","±1,108","1.4%","±0.2","164,862","±5,006","7.9%","±0.2","7,413","±1,419","0.5%","±0.1","43,618","±2,628","1.5%","±0.1","82,724","±4,354","1.9%","±0.1","3,376","±1,191","0.1%","±0.1","39,553","±2,721","1.9%","±0.1","320,693","±7,303","5.2%","±0.1","3,741","±1,125","0.7%","±0.2","457,244","±7,312","7.4%","±0.1","123,266","±5,519","1.4%","±0.1","43,727","±2,763","1.1%","±0.1","208,694","±8,620","2.8%","±0.1","99,021","±4,325","2.4%","±0.1","391,385","±8,417","38.5%","±0.7","4,301","±1,215","0.7%","±0.2","65,038","±3,889","1.3%","±0.1","28,741","±2,662","0.9%","±0.1","38,480","±2,734","1.1%","±0.1","364,052","±7,472","6.8%","±0.1","386,422","±8,231","4.3%","±0.1","31,533","±3,196","1.4%","±0.1","17,194","±1,448","1.6%","±0.1","19,903","±1,824","2.5%","±0.2","23,033","±2,796","1.0%","±0.1","15,714","±1,833","2.2%","±0.2","141,920","±4,317","3.5%","±0.1","4,509","±685","0.5%","±0.1","131,296","±4,374","2.6%","±0.1","350,164","±7,279","2.3%","±0.1","244,395","±6,523","4.9%","±0.1","19,162","±1,922","3.6%","±0.4","41,022","±3,133","2.0%","±0.1","922,184","±12,412","6.7%","±0.1"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","89,491","±2,789","1.2%","±0.1","N","N","N","N","14,872","±1,703","0.2%","±0.1","39,224","±2,451","0.5%","±0.1","N","N","N","N","36,118","±2,877","1.2%","±0.1","N","N","N","N","211,862","±7,567","0.8%","±0.1","N","N","N","N","5,855","±1,352","0.2%","±0.1","97,576","±7,909","0.5%","±0.1","N","N","N","N","10,234","±1,701","0.2%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","29,176","±2,059","1.4%","±0.1","N","N","N","N","218,083","±3,901","7.6%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","16,173","±2,136","0.3%","±0.1","N","N","N","N","13,594","±2,407","0.2%","±0.1","N","N","N","N","N","N","N","N","19,983","±3,050","0.3%","±0.1","42,763","±3,507","1.0%","±0.1","N","N","N","N","N","N","N","N","10,124","±1,649","0.2%","±0.1","N","N","N","N","N","N","N","N","69,554","±4,082","1.3%","±0.1","24,927","±2,740","0.3%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40,584","±2,428","1.0%","±0.1","N","N","N","N","225,636","±5,562","4.5%","±0.1","44,172","±4,421","0.3%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","56,168","±4,696","0.4%","±0.1"
"        Native Hawaiian and Other Pacific Islander alone","4,320","±1,128","0.8%","±0.2","N","N","N","N","5,707","±1,452","0.1%","±0.1","3,951","±889","0.1%","±0.1","N","N","N","N","2,902","±873","0.0%","±0.1","N","N","N","N","9,176","±1,836","0.3%","±0.1","N","N","N","N","106,796","±4,752","0.4%","±0.1","N","N","N","N","N","N","N","N","15,341","±2,499","0.1%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","13,701","±1,286","0.7%","±0.1","N","N","N","N","2,454","±864","0.1%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","2,746","±1,415","0.0%","±0.1","N","N","N","N","5,855","±2,012","0.1%","±0.1","N","N","N","N","91,333","±4,153","9.0%","±0.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","33,073","±2,924","0.6%","±0.1","N","N","N","N","1,802","±803","0.1%","±0.1","N","N","N","N","N","N","N","N","2,668","±1,232","0.1%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","11,034","±1,647","0.2%","±0.1","9,437","±1,875","0.1%","±0.1","N","N","N","N","N","N","N","N","17,875","±1,551","0.9%","±0.1","7,021","±2,370","0.1%","±0.1"
"        Some Other Race alone","6,980","±1,974","1.3%","±0.4","2,024","±682","0.2%","±0.1","95,928","±6,573","1.3%","±0.1","27,155","±3,164","0.6%","±0.1","172,982","±9,776","1.8%","±0.1","57,772","±5,116","0.8%","±0.1","16,792","±2,285","1.2%","±0.2","60,962","±6,537","2.0%","±0.2","N","N","N","N","2,664,272","±41,366","10.3%","±0.2","10,252","±2,090","0.5%","±0.1","95,670","±6,072","3.7%","±0.2","764,568","±20,933","4.1%","±0.1","23,711","±3,200","1.9%","±0.3","92,643","±8,003","2.1%","±0.2","93,757","±6,854","6.2%","±0.4","22,308","±3,299","0.6%","±0.1","28,498","±3,997","0.6%","±0.1","1,688","±712","0.3%","±0.1","155,411","±8,675","7.5%","±0.4","3,105","±952","0.2%","±0.1","44,858","±4,329","1.6%","±0.2","51,146","±4,549","1.2%","±0.1","426,226","±13,975","16.6%","±0.5","26,741","±3,599","1.3%","±0.2","80,450","±6,199","1.3%","±0.1","N","N","N","N","271,565","±15,490","4.4%","±0.2","55,309","±4,892","0.6%","±0.1","33,132","±3,659","0.9%","±0.1","102,346","±7,902","1.4%","±0.1","106,140","±8,137","2.6%","±0.2","11,122","±1,848","1.1%","±0.2","2,976","±1,136","0.5%","±0.2","68,442","±5,928","1.4%","±0.1","13,114","±2,426","0.4%","±0.1","22,034","±3,052","0.6%","±0.1","128,422","±7,341","2.4%","±0.1","321,104","±13,375","3.5%","±0.1","11,416","±1,899","0.5%","±0.1","4,903","±1,465","0.5%","±0.1","30,812","±4,960","3.8%","±0.6","34,576","±4,135","1.6%","±0.2","6,555","±1,921","0.9%","±0.3","36,479","±3,524","0.9%","±0.1","3,505","±1,099","0.4%","±0.1","211,608","±11,702","4.2%","±0.2","379,968","±19,264","2.5%","±0.1","156,986","±9,139","3.1%","±0.2","9,019","±2,298","1.7%","±0.4","59,280","±5,373","2.8%","±0.3","834,466","±23,524","6.1%","±0.2"
"        Two or More Races","33,181","±3,446","6.2%","±0.6","N","N","N","N","146,082","±8,491","1.9%","±0.1","84,168","±4,450","1.8%","±0.1","162,606","±7,197","1.7%","±0.1","151,217","±6,267","2.0%","±0.1","27,502","±3,027","2.0%","±0.2","114,770","±5,488","3.7%","±0.2","N","N","N","N","1,057,288","±20,440","4.1%","±0.1","20,139","±3,070","0.9%","±0.1","55,934","±4,024","2.1%","±0.2","388,459","±12,219","2.1%","±0.1","28,860","±3,259","2.3%","±0.3","113,237","±6,511","2.6%","±0.1","36,720","±3,523","2.4%","±0.2","54,771","±4,561","1.5%","±0.1","72,307","±5,231","1.4%","±0.1","N","N","N","N","77,754","±5,346","3.7%","±0.3","17,292","±2,112","1.2%","±0.1","174,963","±5,814","6.1%","±0.2","66,873","±4,704","1.5%","±0.1","118,900","±7,095","4.6%","±0.3","52,582","±4,341","2.5%","±0.2","169,837","±9,226","2.7%","±0.1","N","N","N","N","124,757","±8,390","2.0%","±0.1","167,973","±8,111","1.9%","±0.1","56,372","±5,250","1.5%","±0.1","140,237","±8,531","1.9%","±0.1","117,945","±5,792","2.8%","±0.1","212,677","±7,681","20.9%","±0.8","N","N","N","N","84,012","±5,301","1.7%","±0.1","48,798","±4,878","1.4%","±0.1","48,765","±4,351","1.4%","±0.1","239,617","±9,838","4.5%","±0.2","163,661","±7,967","1.8%","±0.1","29,319","±2,928","1.3%","±0.1","16,488","±2,385","1.5%","±0.2","18,973","±2,665","2.4%","±0.3","43,012","±3,545","1.9%","±0.2","13,093","±1,960","1.8%","±0.3","79,970","±4,767","1.9%","±0.1","N","N","N","N","153,342","±8,267","3.0%","±0.2","313,929","±12,957","2.0%","±0.1","106,038","±6,019","2.1%","±0.1","14,842","±2,020","2.8%","±0.4","46,359","±3,436","2.2%","±0.2","330,462","±12,716","2.4%","±0.1"
"        Hispanic or Latino","31,790","±1,004","6.0%","±0.2","15,070","±911","1.4%","±0.1","337,941","±8,532","4.4%","±0.1","123,751","±4,419","2.7%","±0.1","527,340","±7,857","5.4%","±0.1","264,843","±5,022","3.5%","±0.1","87,039","±3,791","6.3%","±0.3","236,661","±7,137","7.6%","±0.2","32,683","±1,513","7.5%","±0.3","7,863,415","±33,542","30.4%","±0.1","35,968","±2,782","1.6%","±0.1","321,257","±6,495","12.3%","±0.2","5,627,836","±30,596","30.4%","±0.1","99,906","±3,771","8.0%","±0.3","246,253","±7,839","5.7%","±0.2","647,679","±7,583","43.0%","±0.3","80,325","±4,280","2.2%","±0.1","125,024","±5,459","2.5%","±0.1","8,387","±962","1.7%","±0.2","412,166","±8,500","19.9%","±0.3","15,663","±1,821","1.1%","±0.1","175,496","±4,859","6.2%","±0.2","183,767","±4,144","4.2%","±0.1","2,529,291","±5,316","98.8%","±0.2","147,102","±5,118","7.0%","±0.2","343,754","±9,670","5.5%","±0.1","16,825","±1,096","3.0%","±0.2","957,045","±11,394","15.4%","±0.2","237,803","±5,171","2.7%","±0.1","115,494","±5,219","3.0%","±0.1","375,000","±10,400","5.0%","±0.1","666,340","±9,566","16.1%","±0.2","88,831","±1,541","8.7%","±0.2","16,770","±1,195","2.6%","±0.2","206,107","±6,008","4.2%","±0.1","56,296","±3,707","1.7%","±0.1","105,048","±4,622","3.0%","±0.1","409,859","±8,186","7.7%","±0.1","1,064,834","±14,872","11.7%","±0.1","83,270","±3,069","3.6%","±0.1","31,264","±1,660","2.9%","±0.2","91,160","±3,487","11.4%","±0.4","86,138","±4,587","3.9%","±0.2","38,834","±2,554","5.4%","±0.3","124,741","±4,129","3.0%","±0.1","24,492","±1,571","3.0%","±0.2","1,188,723","±11,777","23.6%","±0.2","3,141,934","±25,552","20.5%","±0.1","448,318","±6,876","8.9%","±0.1","36,738","±2,754","7.0%","±0.5","190,248","±5,817","9.1%","±0.3","2,033,344","±20,241","14.8%","±0.1"
"        White alone, Not Hispanic or Latino","349,058","±1,415","65.6%","±0.3","1,016,354","±1,589","94.9%","±0.2","5,266,352","±6,375","69.0%","±0.1","3,833,132","±3,666","82.7%","±0.1","7,890,171","±7,873","80.7%","±0.1","5,943,602","±6,221","78.8%","±0.1","1,182,496","±1,695","85.7%","±0.3","2,563,656","±4,106","82.7%","±0.3","378,267","±1,045","87.2%","±0.4","11,748,576","±12,183","45.5%","±0.1","1,330,091","±2,029","59.4%","±0.1","1,919,416","±4,758","73.4%","±0.2","9,394,473","±10,750","50.8%","±0.1","1,091,074","±2,540","87.1%","±0.3","2,444,903","±4,070","56.6%","±0.2","651,775","±2,346","43.2%","±0.3","2,554,006","±2,687","68.8%","±0.1","3,979,945","±4,692","78.4%","±0.1","471,163","±1,376","94.2%","±0.3","1,204,911","±3,184","58.1%","±0.3","1,334,652","±1,955","93.3%","±0.2","2,049,892","±2,407","71.9%","±0.2","3,789,533","±3,661","86.1%","±0.1","24,729","±3,397","1.0%","±0.1","1,724,644","±2,107","82.5%","±0.2","4,175,696","±5,005","67.2%","±0.1","497,987","±1,596","87.8%","±0.4","3,866,635","±7,415","62.4%","±0.2","7,294,535","±4,827","82.3%","±0.1","2,605,101","±3,808","67.7%","±0.1","4,355,981","±6,087","58.2%","±0.1","3,109,968","±3,822","74.9%","±0.2","257,508","±1,396","25.3%","±0.2","562,090","±1,099","86.9%","±0.3","4,137,370","±5,181","83.8%","±0.2","2,970,941","±2,867","88.2%","±0.1","2,152,258","±3,455","62.2%","±0.1","4,092,643","±6,529","76.4%","±0.2","6,155,989","±8,459","67.8%","±0.1","2,116,530","±2,654","90.9%","±0.2","990,203","±2,030","92.6%","±0.2","627,800","±3,870","78.2%","±0.5","1,725,137","±1,894","77.6%","±0.2","495,504","±1,141","68.7%","±0.4","3,537,015","±3,195","86.1%","±0.2","729,822","±1,284","88.6%","±0.2","3,191,082","±5,276","63.4%","±0.2","9,325,209","±12,583","60.8%","±0.1","3,920,473","±8,703","77.9%","±0.2","219,188","±2,165","41.6%","±0.4","1,760,735","±3,045","84.4%","±0.3","8,553,329","±11,764","62.1%","±0.1"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than 9th grade","10,640","±1,693","2.0%","±0.3","24,600","±2,742","2.3%","±0.3","200,778","±8,608","2.6%","±0.1","114,124","±5,337","2.5%","±0.1","249,112","±9,807","2.5%","±0.1","161,150","±5,719","2.1%","±0.1","32,572","±2,968","2.4%","±0.2","58,143","±5,726","1.9%","±0.2","6,797","±1,560","1.6%","±0.4","1,147,037","±19,109","4.4%","±0.1","93,466","±5,252","4.2%","±0.2","66,360","±5,039","2.5%","±0.2","745,191","±15,647","4.0%","±0.1","24,472","±3,181","2.0%","±0.3","97,827","±6,295","2.3%","±0.1","56,432","±4,217","3.7%","±0.3","118,452","±7,074","3.2%","±0.2","175,063","±8,473","3.4%","±0.2","8,442","±1,427","1.7%","±0.3","54,956","±4,453","2.6%","±0.2","51,324","±4,161","3.6%","±0.3","70,779","±3,943","2.5%","±0.1","85,995","±5,063","2.0%","±0.1","336,381","±10,633","13.1%","±0.4","41,812","±3,261","2.0%","±0.2","163,575","±7,095","2.6%","±0.1","15,546","±1,962","2.7%","±0.3","188,446","±7,682","3.0%","±0.1","206,022","±7,065","2.3%","±0.1","108,022","±6,138","2.8%","±0.2","203,340","±9,351","2.7%","±0.1","76,192","±5,031","1.8%","±0.1","28,779","±2,785","2.8%","±0.3","14,171","±1,871","2.2%","±0.3","141,918","±7,947","2.9%","±0.2","149,967","±6,649","4.5%","±0.2","132,683","±7,804","3.8%","±0.2","100,582","±6,967","1.9%","±0.1","255,454","±8,972","2.8%","±0.1","49,035","±3,241","2.1%","±0.1","21,599","±2,911","2.0%","±0.3","25,022","±2,970","3.1%","±0.4","74,892","±4,249","3.4%","±0.2","16,821","±2,525","2.3%","±0.3","74,789","±5,055","1.8%","±0.1","13,693","±1,776","1.7%","±0.2","158,255","±7,390","3.1%","±0.1","480,480","±13,935","3.1%","±0.1","148,210","±8,826","2.9%","±0.2","11,472","±1,871","2.2%","±0.4","28,144","±2,870","1.3%","±0.1","541,093","±12,970","3.9%","±0.1"
