"Label","Alabama!!Total!!Estimate","Alaska!!Total!!Estimate","Arizona!!Total!!Estimate","Arkansas!!Total!!Estimate","California!!Total!!Estimate","Colorado!!Total!!Estimate","Connecticut!!Total!!Estimate","Delaware!!Total!!Estimate","District of Columbia!!Total!!Estimate","Florida!!Total!!Estimate","Georgia!!Total!!Estimate","Hawaii!!Total!!Estimate","Idaho!!Total!!Estimate","Illinois!!Total!!Estimate","Indiana!!Total!!Estimate","Iowa!!Total!!Estimate","Kansas!!Total!!Estimate","Kentucky!!Total!!Estimate","Louisiana!!Total!!Estimate","Maine!!Total!!Estimate","Maryland!!Total!!Estimate","Massachusetts!!Total!!Estimate","Michigan!!Total!!Estimate","Minnesota!!Total!!Estimate","Mississippi!!Total!!Estimate","Missouri!!Total!!Estimate","Montana!!Total!!Estimate","Nebraska!!Total!!Estimate","Nevada!!Total!!Estimate","New Hampshire!!Total!!Estimate","New Jersey!!Total!!Estimate","New Mexico!!Total!!Estimate","New York!!Total!!Estimate","North Carolina!!Total!!Estimate","North Dakota!!Total!!Estimate","Ohio!!Total!!Estimate","Oklahoma!!Total!!Estimate","Oregon!!Total!!Estimate","Pennsylvania!!Total!!Estimate","Rhode Island!!Total!!Estimate","South Carolina!!Total!!Estimate","South Dakota!!Total!!Estimate","Tennessee!!Total!!Estimate","Texas!!Total!!Estimate","Utah!!Total!!Estimate","Vermont!!Total!!Estimate","Virginia!!Total!!Estimate","Washington!!Total!!Estimate","West Virginia!!Total!!Estimate","Wisconsin!!Total!!Estimate","Wyoming!!Total!!Estimate","Puerto Rico!!Total!!Estimate"
"        White alone","2,609,612","365,703","4,166,945","1,782,057","16,517,379","3,679,680","2,084,522","525,325","244,643","12,068,096","4,614,610","279,227","1,179,206","6,815,463","4,293,251","2,181,523","1,830,552","3,004,987","2,217,274","1,031,737","2,551,302","4,179,483","6,132,502","3,619,184","1,354,587","3,931,970","751,393","1,247,723","1,472,166","1,015,920","4,452,328","1,154,001","9,463,280","5,532,516","507,891","7,451,074","2,175,841","2,756,993","8,172,337","672,350","2,713,298","575,570","4,094,840","14,273,222","1,937,546","476,833","4,396,643","4,356,305","1,337,522","3,914,318","404,270","1,683,468"
"        Black or African American alone","996,812","17,746","240,721","345,456","1,744,654","169,652","276,252","157,024","243,233","2,330,705","2,493,514","21,419","6,553","1,335,520","449,253","75,310","119,277","263,543","1,104,855","9,600","1,332,694","348,589","1,020,180","205,733","834,483","507,299","N","57,141","209,465","13,302","856,874","34,879","2,152,967","1,692,009","11,452","1,052,562","207,763","56,026","1,038,791","49,321","1,032,337","9,704","850,333","2,524,172","20,064","5,062","1,238,107","196,882","52,815","258,513","N","319,052"
"        Asian alone","34,017","26,683","127,073","24,055","3,714,094","109,532","86,316","18,037","20,690","352,200","217,935","405,960","13,148","398,896","71,299","35,105","45,883","32,281","43,112","9,369","222,050","244,675","158,530","155,022","15,882","65,793","5,130","22,871","167,309","17,650","464,742","20,266","921,239","152,850","4,071","132,192","50,953","113,542","238,614","21,204","45,305","5,933","64,607","739,788","40,075","4,956","326,275","372,706","7,883","82,163","N","3,130"
"        American Indian and Alaska Native alone","N","N","234,229","N","222,717","42,997","N","N","N","41,215","22,881","N","N","19,999","13,560","N","N","N","N","N","14,591","13,647","44,152","40,218","N","20,013","N","N","27,233","N","12,330","145,613","52,456","92,868","N","N","224,980","36,906","18,764","N","N","N","N","107,161","24,084","N","17,964","74,306","N","N","N","N"
"        Native Hawaiian and Other Pacific Islander alone","N","6,247","8,195","2,135","104,567","N","N","N","N","11,255","N","93,496","N","N","N","823","N","N","N","N","N","N","1,237","N","N","4,297","N","N","15,622","N","N","N","5,681","N","N","N","N","8,555","N","N","N","N","N","14,892","18,894","N","N","28,779","N","N","N","N"
"        Some Other Race alone","23,467","8,042","213,705","26,066","2,657,633","109,338","102,293","7,816","11,852","387,550","97,946","16,616","35,563","339,354","64,291","13,269","31,658","11,524","26,803","2,878","87,620","149,731","53,163","46,297","10,323","35,030","N","23,278","141,146","5,523","255,447","124,366","866,370","110,126","N","56,177","37,300","65,722","178,681","32,099","28,425","2,045","27,620","791,877","44,219","N","83,647","135,003","3,480","54,975","5,738","394,015"
"        Two or More Races","49,526","30,744","146,606","41,170","1,071,116","126,536","63,682","13,317","14,616","316,294","130,464","193,286","30,091","175,596","85,277","33,643","56,439","46,553","51,054","17,529","106,711","118,850","152,700","89,291","20,862","85,916","N","24,460","78,991","16,046","126,012","42,144","348,837","145,566","N","166,589","176,006","124,460","160,507","22,611","55,755","N","74,875","424,430","49,367","N","160,036","245,054","15,271","61,340","N","177,395"
"        Hispanic or Latino","80,762","31,764","1,231,576","86,066","8,052,745","701,813","329,594","42,220","41,218","3,229,500","381,959","89,330","110,831","1,106,567","222,104","89,663","154,992","59,886","108,844","14,812","243,128","465,240","268,656","136,880","42,878","130,429","26,286","92,631","428,143","29,676","954,992","663,946","2,094,324","360,001","18,079","239,267","180,220","268,182","551,612","92,534","111,138","15,345","128,372","5,837,138","205,178","8,000","358,027","422,059","14,900","191,155","33,380","2,535,771"
"        White alone, Not Hispanic or Latino","2,556,191","345,404","3,235,378","1,727,484","11,659,989","3,149,154","1,897,088","495,549","221,801","9,388,752","4,367,617","253,118","1,112,809","6,117,633","4,150,304","2,113,157","1,720,225","2,962,724","2,142,840","1,021,883","2,424,636","3,911,205","5,943,664","3,540,688","1,327,182","3,845,339","734,206","1,184,916","1,210,896","994,140","3,835,196","650,989","8,524,766","5,314,942","498,525","7,293,876","2,052,588","2,582,718","7,873,298","624,256","2,642,359","564,855","4,001,008","9,457,742","1,791,543","471,236","4,166,730","4,116,877","1,326,824","3,792,071","379,616","32,866"
"    EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
